T|TIATS|202102|AACQ|13|21|13|2737|1837|900|0|900|0|0|0|0|0.0344||||||||||
T|TIATS|202102|AACQ|13|22|13|10982|3000|7982|0|7982|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AACQ|13|23|6|13830|6800|7030|0|7030|0|0|0|0|0.0370||||||||||
T|TIATS|202102|AACQ|13|24|1|9100|0|9100|0|9100|0|0|0|0|-0.0400||||||||||
T|TIATS|202102|AACQ|14|21|46|8428|1341|7087|0|7087|0|0|0|0|0.0662||||||||||
T|TIATS|202102|AACQ|14|22|10|8486|0|8486|0|8486|0|0|0|0|0.0892||||||||||
T|TIATS|202102|AACQU|12|21|18|2482|0|2482|0|2482|0|0|0|0|0.1650|0.1496|1660|0.0382|0.0|822|0.0|0|0.0000|0.0|
T|TIATS|202102|AACQU|12|22|11|8000|0|8000|0|8000|0|0|0|0|-0.0624|0.1230|6800|0.0279|0.0|1200|0.0|0|0.0000|0.0|
T|TIATS|202102|AACQU|13|21|2|200|0|200|0|200|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AACQU|14|21|3|300|0|300|0|300|0|0|0|0|-0.0233||||||||||
T|TIATS|202102|AADR|12|21|3|487|0|487|0|487|0|0|0|0|0.2136|0.1829|487|0.0519|0.0|0|0.0|0|0.0000|0.0|
T|TIATS|202102|AAIC|12|21|23|3148|0|3148|0|3148|0|0|0|0|0.0183|0.0138|0|0.0000|0.0|3148|0.0|0|0.0000|0.0|
T|TIATS|202102|AAIC|12|22|2|1330|430|900|0|900|0|0|0|0|-0.0067|0.0111|0|0.0000|0.0|900|0.0|0|0.0000|0.0|
T|TIATS|202102|AAIC|12|23|1|2000|0|2000|0|2000|0|0|0|0|-0.0100|0.0100|0|0.0000|0.0|2000|0.0|0|0.0000|0.0|
T|TIATS|202102|AAIC PRC|12|21|4|400|0|400|0|400|0|0|0|0|0.4075|0.1425|300|0.0400|0.0|100|0.0|0|0.0000|0.0|
T|TIATS|202102|AAIC PRC|12|22|1|1100|0|1100|0|1100|0|0|0|0|-0.0600|0.0400|0|0.0000|0.0|1100|0.0|0|0.0000|0.0|
T|TIATS|202102|AAIC PRC|14|22|1|1100|0|1100|0|1100|0|0|0|0|0.0600||||||||||
T|TIATS|202102|AAL|12|21|10517|1929735|45908|1883827|0|1883827|0|0|0|0|0.0005|0.0074|506073|0.0050|0.0|1377754|0.0|0|0.0000|0.0|
T|TIATS|202102|AAL|12|22|3857|3375474|122531|3252943|0|3252943|0|0|0|0|0.0010|0.0076|801326|0.0050|0.0|2451617|0.0|0|0.0000|0.0|
T|TIATS|202102|AAL|12|23|466|1081309|39937|1041372|0|1041372|0|0|0|0|-0.0052|0.0093|71440|0.0050|0.0|969932|0.0|0|0.0000|0.0|
T|TIATS|202102|AAL|12|24|8|55978|48976|7002|0|7002|0|0|0|0|-0.0553|0.0100|0|0.0000|0.0|7002|0.0|0|0.0000|0.0|
T|TIATS|202102|AAL|13|21|82|14499|14499|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAL|13|22|20|18308|18308|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAL|13|23|9|24700|24700|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAL|13|24|1|5097|5097|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAL|14|21|258|44033|4393|39640|0|39640|0|0|0|0|0.0088||||||||||
T|TIATS|202102|AAL|14|22|63|47514|6912|40602|0|40602|0|0|0|0|-0.0337||||||||||
T|TIATS|202102|AAL|14|23|9|26238|9715|16523|0|16523|0|0|0|0|-0.0268||||||||||
T|TIATS|202102|AAL|14|24|2|14216|14216|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAL|15|21|1|200|200|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAMC|12|21|54|7419|0|7419|0|7419|0|0|0|0|-0.4507|0.6050|7019|0.1548|0.0|400|0.0|0|0.0000|0.0|
T|TIATS|202102|AAMC|13|21|2|300|0|300|0|300|0|0|0|0|-2.7033||||||||||
T|TIATS|202102|AAME|12|21|2743|367879|21786|346093|0|346093|0|0|0|0|0.0788|0.1010|158458|0.0160|0.0|187635|0.0|0|0.0000|0.0|
T|TIATS|202102|AAME|12|22|234|201485|10068|191417|0|191417|0|0|0|0|0.0222|0.0758|89499|0.0135|0.0|101918|0.0|0|0.0000|0.0|
T|TIATS|202102|AAME|12|23|32|69200|5100|64100|0|64100|0|0|0|0|0.1613|0.0711|28000|0.0121|0.0|36100|0.0|0|0.0000|0.0|
T|TIATS|202102|AAME|13|21|112|22242|5090|17152|0|17152|0|0|0|0|0.1763||||||||||
T|TIATS|202102|AAME|13|22|14|10622|1803|8819|0|8819|0|0|0|0|0.5186||||||||||
T|TIATS|202102|AAME|13|23|2|4000|4000|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAME|14|21|260|45002|4264|40738|0|40738|0|0|0|0|-0.0283||||||||||
T|TIATS|202102|AAME|14|22|25|20615|4180|16435|0|16435|0|0|0|0|0.1536||||||||||
T|TIATS|202102|AAME|14|23|1|2900|0|2900|0|2900|0|0|0|0|0.0500||||||||||
T|TIATS|202102|AAN|12|21|64|9587|0|9587|0|9587|0|0|0|0|0.0519|0.0731|8987|0.0187|0.0|600|0.0|0|0.0000|0.0|
T|TIATS|202102|AAN|12|22|15|11800|500|11300|0|11300|0|0|0|0|-0.0092|0.0688|8600|0.0152|0.0|2700|0.0|0|0.0000|0.0|
T|TIATS|202102|AAOI|12|21|112|19460|400|19060|0|19060|0|0|0|0|-0.0088|0.0454|8824|0.0134|0.0|10236|0.0|0|0.0000|0.0|
T|TIATS|202102|AAOI|12|22|26|20018|250|19768|0|19768|0|0|0|0|0.0250|0.0457|10018|0.0100|0.0|9750|0.0|0|0.0000|0.0|
T|TIATS|202102|AAOI|12|23|3|6000|0|6000|0|6000|0|0|0|0|-0.0600|0.0400|0|0.0000|0.0|6000|0.0|0|0.0000|0.0|
T|TIATS|202102|AAOI|14|21|2|316|0|316|0|316|0|0|0|0|-0.0237||||||||||
T|TIATS|202102|AAON|12|21|21|4423|0|4423|0|4423|0|0|0|0|-0.0676|0.2803|3723|0.0473|0.0|700|0.0|0|0.0000|0.0|
T|TIATS|202102|AAON|12|22|9|7750|0|7750|0|7750|0|0|0|0|-0.3624|0.3610|4950|0.0638|0.0|2800|0.0|0|0.0000|0.0|
T|TIATS|202102|AAON|13|21|1|194|194|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAON|13|22|1|500|0|500|0|500|0|0|0|0|0.0200||||||||||
T|TIATS|202102|AAP|12|21|245|33960|2200|31760|0|31760|0|0|0|0|0.2129|0.1183|26260|0.0299|0.0|5500|0.0|0|0.0000|0.0|
T|TIATS|202102|AAP|12|22|15|10710|0|10710|0|10710|0|0|0|0|0.1682|0.1070|10710|0.0255|0.0|0|0.0|0|0.0000|0.0|
T|TIATS|202102|AAP|12|23|1|2000|0|2000|0|2000|0|0|0|0|2.7100|0.4700|0|0.0000|0.0|2000|0.0|0|0.0000|0.0|
T|TIATS|202102|AAP|13|21|11|1500|600|900|0|900|0|0|0|0|0.0489||||||||||
T|TIATS|202102|AAP|14|21|5|700|500|200|0|200|0|0|0|0|0.2500||||||||||
T|TIATS|202102|AAP|15|21|1|100|100|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAPL|12|21|34313|4786833|159101|4627732|0|4627732|0|0|0|0|0.0124|0.0122|472395|0.0065|0.0|4155237|0.0|100|0.0100|0.1|
T|TIATS|202102|AAPL|12|22|3226|2618450|146108|2472342|0|2472342|0|0|0|0|0.0282|0.0129|170585|0.0063|0.0|2301757|0.0|0|0.0000|0.0|
T|TIATS|202102|AAPL|12|23|585|1238266|159242|1079024|0|1079024|0|0|0|0|-0.0090|0.0142|27300|0.0055|0.0|1051724|0.0|0|0.0000|0.0|
T|TIATS|202102|AAPL|12|24|32|229264|202070|27194|0|27194|0|0|0|0|-0.1391|0.0076|10400|0.0074|0.0|16794|0.0|0|0.0000|0.0|
T|TIATS|202102|AAPL|13|21|611|101985|95430|6555|0|6555|0|0|0|0|-0.0554||||||||||
T|TIATS|202102|AAPL|13|22|139|111976|109180|2796|0|2796|0|0|0|0|0.2083||||||||||
T|TIATS|202102|AAPL|13|23|21|44921|42921|2000|0|2000|0|0|0|0|0.2700||||||||||
T|TIATS|202102|AAPL|13|24|2|10000|10000|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAPL|14|21|612|97704|35306|62398|0|62398|0|0|0|0|0.0178||||||||||
T|TIATS|202102|AAPL|14|22|82|74144|54654|19490|0|19490|0|0|0|0|-0.1818||||||||||
T|TIATS|202102|AAPL|14|23|2|4000|2000|2000|0|2000|0|0|0|0|-0.4500||||||||||
T|TIATS|202102|AAPL|14|24|3|22927|22927|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAPL|15|21|17|2564|2564|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAPL|15|22|3|2240|2240|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAPL|15|23|2|4000|4000|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAPL|15|24|2|12516|12516|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAT|12|21|11|1885|0|1885|0|1885|0|0|0|0|0.0874|0.0977|1385|0.0317|0.0|500|0.0|0|0.0000|0.0|
T|TIATS|202102|AAU|12|21|350|73960|1830|72130|0|72130|0|0|0|0|0.0098|0.0058|9341|0.0046|0.0|62789|0.0|0|0.0000|0.0|
T|TIATS|202102|AAU|12|22|259|218100|8542|209558|0|209558|0|0|0|0|0.0039|0.0048|24900|0.0047|0.0|184658|0.0|0|0.0000|0.0|
T|TIATS|202102|AAU|12|23|69|226479|6469|220010|0|220010|0|0|0|0|-0.0072|0.0046|0|0.0000|0.0|220010|0.0|0|0.0000|0.0|
T|TIATS|202102|AAU|12|24|51|332424|16800|315624|0|315624|0|0|0|0|0.0063|0.0040|0|0.0000|0.0|315624|0.0|0|0.0000|0.0|
T|TIATS|202102|AAU|13|21|5|1300|200|1100|0|1100|0|0|0|0|0.0125||||||||||
T|TIATS|202102|AAU|13|22|3|3900|0|3900|0|3900|0|0|0|0|0.0744||||||||||
T|TIATS|202102|AAU|14|21|29|6041|645|5396|0|5396|0|0|0|0|-0.0189||||||||||
T|TIATS|202102|AAU|14|22|13|12891|1500|11391|0|11391|0|0|0|0|0.0170||||||||||
T|TIATS|202102|AAU|14|23|2|5000|0|5000|0|5000|0|0|0|0|0.0089||||||||||
T|TIATS|202102|AAU|15|21|1|200|200|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAWW|12|21|118|21249|0|21249|0|21249|0|0|0|0|0.0986|0.1514|19559|0.0295|0.0|1690|0.0|0|0.0000|0.0|
T|TIATS|202102|AAWW|12|22|29|18500|0|18500|0|18500|0|0|0|0|0.0061|0.2201|16500|0.0461|0.0|2000|0.0|0|0.0000|0.0|
T|TIATS|202102|AAWW|13|21|1|400|400|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|AAXJ|12|21|10|1800|0|1800|0|1800|0|0|0|0|0.0694|0.0250|400|0.0375|0.0|1400|0.0|0|0.0000|0.0|
T|TIATS|202102|AAXJ|12|22|1|1700|0|1700|0|1700|0|0|0|0|0.1700|0.0100|0|0.0000|0.0|1700|0.0|0|0.0000|0.0|
T|TIATS|202102|AAXJ|12|23|1|2000|2000|0|0|0|0|0|0|0|0.0000|0.0000|0|0.0000|0.0|0|0.0|0|0.0000|0.0|
T|TIATS|202102|AB|12|21|71|14077|100|13977|0|13977|0|0|0|0|0.0564|0.0804|9614|0.0206|0.0|4363|0.0|0|0.0000|0.0|
T|TIATS|202102|AB|12|22|22|15254|3000|12254|0|12254|0|0|0|0|0.0214|0.0631|8043|0.0175|0.0|4211|0.0|0|0.0000|0.0|
T|TIATS|202102|ABB|12|21|92|14853|300|14553|0|14553|0|0|0|0|-0.0236|0.0055|6850|0.0051|0.0|7703|0.0|0|0.0000|0.0|
T|TIATS|202102|ABB|12|22|10|11091|0|11091|0|11091|0|0|0|0|-0.0226|0.0030|7750|0.0050|0.0|3341|0.0|0|0.0000|0.0|
T|TIATS|202102|ABB|13|21|1|300|300|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABB|14|21|1|100|100|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABBV|12|21|1088|139488|3135|136353|0|136353|0|0|0|0|0.0384|0.0221|33616|0.0112|0.0|102737|0.0|0|0.0000|0.0|
T|TIATS|202102|ABBV|12|22|48|34213|0|34213|0|34213|0|0|0|0|0.0831|0.0317|5300|0.0113|0.0|28913|0.0|0|0.0000|0.0|
T|TIATS|202102|ABBV|12|23|10|20000|0|20000|0|20000|0|0|0|0|0.1600|0.0240|0|0.0000|0.0|20000|0.0|0|0.0000|0.0|
T|TIATS|202102|ABBV|13|21|4|600|600|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABBV|13|22|3|1500|500|1000|0|1000|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABBV|13|23|1|2000|2000|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABBV|14|21|2|240|240|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABC|12|21|42|6284|0|6284|0|6284|0|0|0|0|0.3420|0.1024|5555|0.0193|0.0|729|0.0|0|0.0000|0.0|
T|TIATS|202102|ABC|12|22|5|4038|0|4038|0|4038|0|0|0|0|0.8045|0.1058|4038|0.0202|0.0|0|0.0|0|0.0000|0.0|
T|TIATS|202102|ABCB|12|21|14|2200|0|2200|0|2200|0|0|0|0|-0.0182|0.0936|1900|0.0153|0.0|300|0.0|0|0.0000|0.0|
T|TIATS|202102|ABCB|12|22|1|500|0|500|0|500|0|0|0|0|0.1600|0.0500|0|0.0000|0.0|500|0.0|0|0.0000|0.0|
T|TIATS|202102|ABCL|12|21|244|37517|900|36617|0|36617|0|0|0|0|0.2195|0.2104|34322|0.0418|0.0|2295|0.0|0|0.0000|0.0|
T|TIATS|202102|ABCL|12|22|92|86072|1100|84972|0|84972|0|0|0|0|0.0613|0.2262|79066|0.0385|0.0|5906|0.0|0|0.0000|0.0|
T|TIATS|202102|ABCM|12|21|9|1700|0|1700|0|1700|0|0|0|0|0.2024|0.1565|1100|0.0391|0.0|600|0.0|0|0.0000|0.0|
T|TIATS|202102|ABCM|12|22|6|3750|0|3750|0|3750|0|0|0|0|0.0779|0.0952|2950|0.0261|0.0|800|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEO|12|21|4344|844095|23433|820662|0|820662|0|0|0|0|-0.0032|0.0089|143684|0.0051|0.0|676978|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEO|12|22|1702|1493994|63192|1430802|0|1430802|0|0|0|0|-0.0008|0.0090|208074|0.0050|0.0|1222728|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEO|12|23|628|1552276|53750|1498526|0|1498526|0|0|0|0|-0.0034|0.0107|9600|0.0050|0.0|1488926|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEO|12|24|50|314712|0|314712|0|314712|0|0|0|0|-0.0330|0.0118|0|0.0000|0.0|314712|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEO|13|21|12|1400|1100|300|0|300|0|0|0|0|-0.0100||||||||||
T|TIATS|202102|ABEO|13|22|5|6122|3110|3012|0|3012|0|0|0|0|-0.0143||||||||||
T|TIATS|202102|ABEO|13|23|1|2000|2000|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABEO|14|21|267|57226|6977|50249|0|50249|0|0|0|0|0.0077||||||||||
T|TIATS|202102|ABEO|14|22|154|137498|13714|123784|0|123784|0|0|0|0|-0.0102||||||||||
T|TIATS|202102|ABEO|14|23|46|121901|20400|101501|0|101501|0|0|0|0|0.0195||||||||||
T|TIATS|202102|ABEO|14|24|8|53257|6500|46757|0|46757|0|0|0|0|0.0125||||||||||
T|TIATS|202102|ABEO|15|21|1|200|200|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABEQ|12|21|1|100|0|100|0|100|0|0|0|0|0.1100|0.0500|100|0.0100|0.0|0|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEV|12|21|173|36734|300|36434|0|36434|0|0|0|0|0.0019|0.0071|10409|0.0050|0.0|26025|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEV|12|22|91|76699|0|76699|0|76699|0|0|0|0|0.0049|0.0074|19603|0.0050|0.0|57096|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEV|12|23|35|91370|0|91370|0|91370|0|0|0|0|0.0018|0.0080|18660|0.0050|0.0|72710|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEV|12|24|18|121972|0|121972|0|121972|0|0|0|0|0.0012|0.0086|16772|0.0050|0.0|105200|0.0|0|0.0000|0.0|
T|TIATS|202102|ABEV|14|21|2|500|0|500|0|500|0|0|0|0|0.0220||||||||||
T|TIATS|202102|ABEV|14|22|2|1050|0|1050|0|1050|0|0|0|0|0.0005||||||||||
T|TIATS|202102|ABG|12|21|14|1947|0|1947|0|1947|0|0|0|0|0.7106|1.1784|1947|0.1560|0.0|0|0.0|0|0.0000|0.0|
T|TIATS|202102|ABGI|12|21|10|1470|0|1470|0|1470|0|0|0|0|0.0267|0.0236|0|0.0000|0.0|1470|0.0|0|0.0000|0.0|
T|TIATS|202102|ABGI|12|22|2|1800|0|1800|0|1800|0|0|0|0|-0.0278|0.0411|800|0.0100|0.0|1000|0.0|0|0.0000|0.0|
T|TIATS|202102|ABGI|13|21|4|472|0|472|0|472|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABIO|12|21|797|121169|3646|117523|0|117523|0|0|0|0|0.0141|0.0187|3280|0.0102|0.0|114243|0.0|0|0.0000|0.0|
T|TIATS|202102|ABIO|12|22|220|206786|3858|202928|0|202928|0|0|0|0|0.0063|0.0201|5731|0.0121|0.0|197197|0.0|0|0.0000|0.0|
T|TIATS|202102|ABIO|12|23|55|117054|0|117054|0|117054|0|0|0|0|0.0305|0.0286|0|0.0000|0.0|117054|0.0|0|0.0000|0.0|
T|TIATS|202102|ABIO|13|21|3|300|100|200|0|200|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABIO|13|23|2|4300|4300|0|0|0|0|0|0|0|0.0000||||||||||
T|TIATS|202102|ABIO|14|21|16|2878|500|2378|0|2378|0|0|0|0|-0.0023||||||||||
T|TIATS|202102|ABIO|14|22|1|1300|0|1300|0|1300|0|0|0|0|0.0500||||||||||
T|TIATS|202102|ABM|12|21|25|4320|0|4320|0|4320|0|0|0|0|-0.0026|0.0919|3420|0.0184|0.0|900|0.0|0|0.0000|0.0|
T|TIATS|202102|ABM|12|22|1|700|0|700|0|700|0|0|0|0|-0.1000|0.0600|700|0.0100|0.0|0|0.0|0|0.0000|0.0|
T|TIATS|202102|ABMD|12|21|23|3063|0|3063|0|3063|0|0|0|0|-0.3198|0.6946|2733|0.1721|0.0|330|0.0|0|0.0000|0.0|
T|TIATS|202102|ABNB|12|21|4466|673128|11438|661690|0|661690|0|0|0|0|0.0727|0.2676|565020|0.0627|0.0|96670|0.0|0|0.0000|0.0|
T|TIATS|202102|ABNB|12|22|588|467323|22716|444607|0|444607|0|0|0|0|0.0584|0.2802|368517|0.0639|0.0|76090|0.0|0|0.0000|0.0|
T|TIATS|202102|ABNB|12|23|76|165010|29496|135514|0|135514|0|0|0|0|-0.3945|0.2814|118000|0.0602|0.0|17514|0.0|0|0.0000|0.0|
T|TIATS|202102|ABNB|13|21|515|80434|76372|4062|0|4062|0|0|0|0|-0.4713||||||||||
T|TIATS|202102|ABNB|13|22|89|67581|66083|1498|0|1498|0|0|0|0|1.8500||||||||||
