Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20240603       5.190     4.390     3.790    10.400     4.896     1.302     1.529     5.175     3.598     3.981     5.233     3.915     7.034     4.054     6.520   (0.106)     3.500    11.126     4.473    5.411*     5.771     6.028    15.970     5.579     3.641     3.629    37.523     5.330     8.412
20240604       5.150     4.374     3.790    10.400     4.908     1.242     1.298     5.162     3.583     3.974     5.230     3.788     7.056     4.139     6.540   (0.083)     3.500    11.040     4.517     5.541     5.617     5.956    15.830     5.994     3.616     3.731    37.661     5.330     8.363
20240605       5.244     4.351     3.780    10.400     4.950     1.272     1.646     5.204    3.583*     3.968     5.233     3.721     7.068     4.178     6.580   (0.108)     3.500    11.069     4.551     5.235     5.619     5.926    16.000     5.997     3.678     3.902    41.196     5.330     8.191
20240606       5.340     4.353     3.790    10.400     4.693     1.334     2.970     5.163     3.548     3.958     5.222     3.953     7.038     4.086     6.600   (0.078)    3.500*    11.197     4.409     5.445     5.667     5.840    16.120     5.967    3.678*     3.875    47.653     5.330     8.040
20240607       5.282     4.294     3.780    10.400     4.603     1.396     1.620     5.152     3.321     3.952     5.203     3.972     7.044     3.995     6.590   (0.024)     3.500    11.210     4.446     5.430     5.711     5.777    16.000    5.967*     3.657     3.875    40.713     5.330     8.088
20240610       5.179    4.294*     3.780    10.400     4.600     1.422    1.620*     5.156     3.322     3.935     5.173    3.972*     7.050     4.171     6.600   (0.148)     3.500    11.112     4.446     5.468     5.736     5.750    15.850     5.859     3.684     3.931    42.405     5.330     8.222
20240611       5.187     4.296     3.750    10.400     4.630     1.245     2.111     5.173     3.304     3.925     5.167     3.869     6.986     4.239     6.600   (0.139)     3.500    11.182     4.461     5.398     5.774     5.734    15.600     6.640     3.586     3.686    44.308     5.330     8.160
20240612       5.074     4.497     3.540    10.400     4.593     1.305     1.884     5.231     3.253     3.682     5.181     3.985     6.994    4.239*     6.600   (0.128)     3.500    11.425     4.492     5.383     5.807     5.703   15.600*     6.615     3.561     3.638    43.784     5.330     8.193
20240613       5.088     4.445     3.540    10.400     4.606     1.299     1.974     5.216     3.281     3.695     5.207     4.052     7.006     4.248     6.550   (0.063)     3.500    12.475     4.450     5.379     5.891     5.697    15.700     5.530     3.572     3.663    49.400     5.330     8.157
20240614       5.152     4.383     3.530    10.400     4.572     1.290     1.822     5.163     3.298     3.677     5.207     4.044     7.033     4.308     6.790   (0.059)     3.500    11.822     4.444     5.388     5.776     5.704    15.640    5.530*     3.569     3.668    41.416     5.330     8.191
20240617      5.152*     4.392     3.550    10.400     4.557     1.197     2.474     5.033     3.259     3.641     5.147     3.941     6.993     4.301    6.790*    (0.26)     3.500    11.247     4.438     5.251     5.711     5.599    15.600    5.530*     3.576    3.668*   41.416*     5.330    8.191*
