Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20240501       5.239     4.316    3.790*   10.650*     4.764    0.831*    1.497*    5.175*     3.510    3.246*     5.247    5.512*    6.750*     4.123    6.750*     0.033    3.500*   11.023*    4.348*     5.464    6.193*    5.172*   15.700*     5.621    3.763*    3.736*   43.945*     5.330    8.406*
20240502       5.257     4.299     3.800    10.650     4.779     1.294    1.497*     5.693     3.536     3.923     5.249     4.321     7.542     4.108     6.630     0.026     3.500    11.153     4.391     5.274     5.815     5.862    15.730     5.828     3.826     3.788    34.810     5.330     8.286
20240503       5.280     4.318    3.800*    10.650     4.863     1.325    1.497*     5.189     3.539     3.926     5.223     4.508     7.513     4.062     6.500    0.026*     3.500    11.198     4.409     5.321    5.815*    5.862*    15.950    5.828*     3.841     3.874    26.824     5.330     8.267
20240506       5.173     4.268    3.800*    10.650     4.844     1.239     3.235     5.120     3.514     3.882    5.223*     4.400     7.499     3.921     6.500    0.026*    3.500*    10.988     4.438     5.510     5.841    5.862*    16.180     5.705     3.786     3.899    30.304     5.330     7.987
20240507       5.114     4.245     3.790    10.650     4.826     1.195     4.555     5.131     3.478     3.846     5.125     3.958     7.504     3.729     6.590   (0.068)     3.500    11.011     4.348     5.228     5.817     5.860    16.140     5.550     3.787     3.850    27.831     5.330     7.820
20240508       5.168     4.264     3.780    10.650     4.851     1.261     4.373    5.131*     3.486     3.866     5.156     3.622     7.497     3.804     6.680    (0.15)     3.500    10.974     4.370     5.481     5.783     5.786    16.140     5.666     3.777     3.804    28.954     5.330     7.768
20240509       5.142     4.204     3.770    10.400     4.868    1.261*     3.127     5.143    3.486*     3.844     5.151     4.015     7.474     3.973     6.780   (0.128)     3.500    10.917    4.370*     5.794     5.647     5.758   16.140*     5.759    3.777*     3.876    30.856     5.330     7.761
20240510       5.164     4.123     3.770    10.400     4.844     1.287     2.071     5.096    3.486*     3.865     5.147     3.979     7.471     3.970     6.800   (0.096)     3.500    10.924     4.398     5.483     5.621     5.799   16.140*    5.759*     3.767     4.064    30.858     5.330     7.824
20240513       5.150     4.281     3.770    10.400     4.847     1.252     2.416     5.073     3.447     3.882     5.174     3.838     7.490     3.818     6.820   (0.176)     3.500    10.974     4.397     5.382     5.690     5.825    16.210     5.742     3.769     3.949    30.024     5.330     7.908
20240514       5.146     4.229     3.790    10.400     4.900     1.264     2.395     5.088     3.477     3.871     5.171     3.807     7.486    3.818*     6.810   (0.102)     3.500    11.034     4.368     5.444     5.777     5.727    16.100     5.769     3.784     3.811    34.110     5.330     7.952
