Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20231101       4.959     4.100     3.531    12.650     4.897     1.526     1.348     6.922     3.513     3.884     5.194     4.474   11.433*     4.430     9.700   (0.286)     3.500    11.000     4.127     5.120    5.860*     5.856    14.430     5.598     3.849     3.891    26.376     5.330     8.491
20231102       5.011     4.143     3.550   12.650*     5.016     1.554     2.077     7.364     3.560     3.933     5.240     4.549    11.805     4.380     9.700   (0.298)     3.500   11.000*     4.109     5.339     5.814     5.858    14.310     5.544     3.879     3.842    28.487     5.330     8.335
20231103       5.149     4.158     3.676    12.150     5.073     1.552     3.167     6.905     3.495     3.953     5.241     4.555    11.781     4.642     9.700   -0.298*     3.500    10.919     4.076     5.373     5.746     5.990    14.230    5.544*     3.870     4.057    28.901     5.330     8.173
20231106       5.015     4.113     3.576    12.150     5.007     1.633     3.644     7.029     3.512     3.933     5.232     4.547    11.811     4.710     9.700   (0.286)     3.500    10.628     4.077     5.730     5.713     5.706   14.230*     5.624     3.864     3.870    32.937     5.330     8.228
20231107       4.979     4.112     3.588    12.150     5.007     1.610     3.924     6.944     3.515     3.914     5.223     4.512    11.820     4.566     9.700   (0.235)     3.500     9.540     4.137     5.358     5.734     5.954    14.180     5.607     3.820     3.702    33.901     5.330     8.333
20231108       4.985     4.308     3.552    12.150     4.918     1.629     5.405     6.908     3.507     3.912     5.205     4.514    11.775     4.629     9.700   (0.206)     3.500    10.609     4.163     5.253     5.766     5.937    14.250     5.368     3.813     3.543    35.082     5.330     8.300
20231109       5.025     4.284     3.577    12.150     4.934     1.615     4.651     6.933     3.541     3.934     5.218     4.548    11.732     4.635     9.700   (0.198)     3.500    10.812     4.161     5.147     5.694     5.955    14.410     5.426     3.841     3.437    41.393     5.330     8.235
20231110       5.071     4.320     3.656    12.150     4.962     1.631     4.616     6.932     3.531     3.933     5.223     4.650    11.789     4.660     9.700   (0.323)     3.500    10.878     4.165     5.265     5.716     5.917    14.630    5.426*     3.825     3.926    34.709     5.330     8.064
20231113       4.972     4.413     3.536    12.150    4.962*     1.603     3.967     6.926     3.538     3.909     5.208     4.668    11.791     4.561     9.700   (0.313)     3.500    10.910     3.892     4.823     5.733     5.915    14.800     5.498     4.063    3.926*    41.234     5.330     7.925
20231114       4.999     4.365     3.563    12.150     4.933     1.552     3.532     6.893     3.504     3.908     5.197     4.540    11.751     4.497    9.700*   (0.252)     3.500    11.207     4.063     5.305     5.728     5.865    14.920     5.666     3.826     3.817    39.199     5.330     7.814
20231115       5.031     4.288     3.563   12.150*     4.920     1.523     3.768     6.904     3.498     3.908     5.166     4.452    11.844     4.666     9.700   (0.174)     3.500    11.372     4.152     5.253     5.744     5.864    14.730     5.845     3.810     3.733    38.858     5.330     7.860
20231116       5.111     4.298     3.581    12.150     4.883     1.509     3.694     6.888     3.515     3.921     5.186     4.374    11.818     4.712     9.700   (0.261)     3.500    11.317     4.140     5.266     5.736     5.880    15.010     6.155     3.836     3.828    35.467     5.330     8.134
20231117       5.138     4.363     3.652    12.150     4.872     1.621     4.789    6.888*     3.536     3.929     5.184     4.496    11.870     4.763     9.700   (0.193)     3.500    11.247     4.161     5.336     5.722     5.847    15.030    6.155*     3.851     3.996    33.222     5.330     8.133
20231120       5.131     4.366     3.580    12.150     4.999     1.630     5.283     6.894     3.555     3.930     5.189     5.135    11.859     4.725     9.700   (0.251)     3.500   11.247*     4.132     5.366     5.728     5.844    15.020     5.991     3.861     3.852    36.231     5.330     8.061
20231121       5.075     4.379     3.576    12.150     4.914     1.624     4.930     6.901     3.535     3.919     5.200     5.194    11.878     4.636     9.700   (0.129)     3.500    11.122     4.113     5.362     5.742     5.783    15.080     5.965     3.870     3.990    33.478     5.330     8.067
