Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20240101      4.728*    4.009*    4.026*   11.650*    4.691*    1.525*    0.327*    5.750*    3.704*    3.948*    5.109*    7.093*    9.750*     5.430     9.700   -0.244*    3.500*   10.404*    3.966*    5.130*    4.640*    5.896*   15.270*     5.202    4.082*    3.813*   28.416*    5.330*    7.472*
20240102       4.972     4.350     3.668    11.650     4.792    1.525*     2.860     5.895     3.632     4.025     5.286     5.228    10.707     5.028     9.700   -0.244*     3.500    10.619     4.445    5.130*     5.796    5.896*   15.270*     5.784     4.000     3.585    35.578     5.330     8.222
20240103       5.127     4.209     3.666    11.650     4.783     1.605     2.742     5.947     3.645     3.992     5.241     5.292    10.567     4.696     9.700   -0.244*     3.500    11.012     4.332     5.403     5.559     5.865   15.270*     5.717     3.915     3.830    42.727     5.330     8.001
20240104       5.051     4.010     3.801    11.650     4.847     1.454     3.083     6.581     3.595     3.983     5.254     5.305    10.403     4.382     9.700   (0.318)     3.500    11.096     4.217     5.126     5.539     5.822   15.270*     5.907     3.896     4.030    54.575     5.330     7.950
20240105       5.036     3.866     3.723    11.650     4.870     1.664     3.828     6.724     3.600     3.967     5.250     5.339    10.327     4.264     9.700   (0.118)     3.500    11.182     4.233     5.240     5.551     5.791   15.270*    5.907*     3.864     4.009    43.413     5.330     8.182
20240108       5.133     4.224     3.649    11.650     4.887     1.533     3.915     6.613     3.447     3.870     5.170     5.214    10.047     3.933     6.850   -0.118*     3.500    11.214     4.319     5.133     5.538     5.395   15.270*     6.093     3.822     3.936    45.903     5.330     8.178
20240109       5.134     4.051     3.616    11.650     4.839     1.528     3.912     6.603     3.454     3.885     5.172     5.194    10.043     4.259     6.850   (0.395)     3.500    11.171     4.315     5.317     5.443     5.190    15.590     6.170     3.816     3.927    45.203     5.330     8.170
20240110       5.161     4.143     3.619    11.650     4.851     1.568     3.451     6.585     3.462     3.886     5.182     4.649    10.072     4.704     6.850   (0.242)     3.500    11.158     4.298     5.250     5.415     5.012    15.340     6.021     3.820     3.842    43.991     5.330     8.228
20240111       5.161     4.266     3.617    11.650     4.888     1.551     2.707     6.615     3.477     3.880     5.184     4.218    10.134     4.634     6.850   (0.208)     3.500    11.100     4.257     5.292     5.480     5.008    15.200     5.594     3.814     3.881    46.031     5.330     8.270
20240112       5.173     4.274     3.813    11.650     4.901     1.534     2.888     6.650     3.496     3.880     5.159     4.925    10.260     4.618     6.850   (0.227)     3.500    11.133     4.297     5.387     5.597     5.124    15.150    5.594*     3.826     4.256    38.444     5.330     8.244
20240115       5.173     4.274     3.813    11.650     4.901     1.534     2.888     6.650     3.496     3.880     5.159     4.976    10.260     4.618     6.850   (0.227)     3.500    11.133     4.297     5.387     5.597     5.124    15.420     5.594     3.826     4.256    38.444    5.330*     8.244
20240116       5.190     4.182     4.081    11.650     4.895     1.483     4.188     6.592     3.459     3.887     5.157     4.603    10.217     4.603     6.850   (0.235)     3.500    11.199     4.305     5.322     5.752     5.231    15.560     5.874     3.840     3.970    46.397     5.330     8.318
20240117       5.098     4.117     4.037    11.650     4.906     1.500     3.801     6.610     3.442     3.877     5.137     4.285    10.491     4.560     6.850   (0.195)     3.500    11.433     4.351     5.309     5.660     5.356    15.590     5.594     3.878     3.980    42.918     5.330     8.406
20240118       5.084     4.112     3.889    11.650     4.917     1.630     3.860     6.554     3.475     3.885     5.153     4.292    10.465     4.617     6.850   (0.162)     3.500    11.439     4.386     5.452     5.540     5.381    15.620     5.556     3.847     3.832    40.669     5.330     8.402
20240119       5.229     4.188     3.920    11.650     4.937     1.630     3.940     6.559     3.486     3.912     5.173     4.434    10.479     4.527     6.850   (0.166)     3.500    11.420     4.419     5.528     5.520     5.609    15.800    5.556*     3.848     3.766    40.016     5.330     8.443
20240122       5.006     4.236     3.918    11.650     4.974     1.604     5.405     6.625     3.496     3.906     5.179     4.081    10.553     4.426    6.850*    (0.24)     3.500    11.336     4.382    5.528*     5.644     5.618    15.830     5.814     3.902     3.773    42.715     5.330     8.441
20240123       5.249     4.201     3.876    11.650     4.971     1.539     6.863     6.625     3.518     3.907     5.192     4.070    10.624     4.604     6.850   (0.207)     3.500    11.335     4.374     5.398     5.849     5.585    15.980     5.852     3.920     3.762    40.924     5.330     8.402
20240124       5.121     4.245     3.858    11.650     4.925     1.621     7.077     6.762     3.467     3.876     5.197     3.590    10.542     4.589     6.850   (0.131)     3.500    11.281     4.420     5.520     5.820    5.585*    15.980     5.733     4.057     3.734    40.312     5.330     8.441
20240125       5.246     4.273     3.856    11.650     4.914     1.535     5.550     6.725     3.467     3.888     5.211     3.398    10.554     4.233     6.860   (0.179)     3.500    11.248     4.384     5.453     6.064     5.753    16.000     5.543     4.018     3.633    39.969     5.330     8.417
20240126       5.170    4.273*     3.750    11.650     4.961     1.591     3.170     6.800     3.500     3.891     5.211     3.547    10.579     3.986    6.860*    (0.13)     3.500    11.260     4.390     5.335     5.954     5.857    15.740    5.543*     4.013     3.530    39.061     5.330     8.406
20240129       5.143     4.206     3.841    11.650     4.958     1.594     2.723     6.617     3.498     3.915     5.207     3.754    10.418     4.833     6.850   (0.222)     3.500    11.248     4.387    5.335*     5.709     5.943    16.000     5.571     4.130     3.639    41.096     5.330     8.452
20240130       5.197     4.307     3.864    11.650     4.966     1.541     1.478     6.616     3.505     3.896     5.188     4.312    10.389     4.340     6.850     (0.2)     3.500    11.234     4.383     5.316     5.707     5.918    16.010     5.553     4.077     3.593    39.336     5.330     8.536
20240131       5.173     4.253     3.314    11.650     4.995     1.167     0.224     5.942     3.663     3.458     5.136     5.178     9.225     4.374     6.850     (0.7)     3.500    11.219     4.294     5.326     6.190     5.465    16.000     5.717     3.851     3.590    38.602     5.330     8.541
