Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20240201       5.126     4.271     3.746    11.150     4.914     1.335     2.014     6.559     3.509     3.872     5.142     4.164     9.539     4.520     6.850   (0.237)     3.500    11.229     4.352     5.455     5.851     5.927    15.820     5.897     3.800     3.605    37.913     5.330     8.498
20240202       5.189     4.268     3.618    11.150     4.967     1.474     1.753     6.506     3.516     3.890     5.150     4.097     9.545     4.428     6.660   (0.182)     3.500    11.198     4.408     5.390     5.806     5.926    15.970    5.897*     3.851     3.704    33.470     5.330     8.479
20240205       5.295     4.316     3.804    11.150     4.909     1.580     3.658     6.579     3.582     3.910     5.191     4.051     9.628     4.427     6.540   (0.058)     3.500   11.198*     4.405     5.458     5.723     5.941    16.000     5.886     3.891     3.579    37.981     5.330     8.473
20240206       5.108     4.324     3.814    11.150     4.897     1.615     4.346     6.648     3.565     3.926     5.212     4.060     9.592     4.470     6.550   (0.101)     3.500    11.076     4.417    5.458*     5.736     5.873    16.000     5.816     3.933     3.618    42.478     5.330     8.382
20240207       5.082     4.363     3.847    11.150     4.917     1.605     4.668     6.669     3.533     3.933     5.211     4.175     9.534     4.464     6.550   (0.178)     3.500    11.346     4.414     5.336     5.759     6.006    15.960     5.744     3.874     3.725    42.218     5.330     8.396
20240208       5.016     4.295     3.800    11.150     4.941     1.583     4.760     6.661     3.510     3.922     5.193     4.730     9.569     4.363     6.750   (0.173)     3.500    11.293     4.417     5.416     5.746     5.981    15.870     5.580     3.845     3.648    41.546     5.330     8.427
20240209       5.186     4.341     3.702    11.150     4.940     1.596     5.331     6.262     3.527     3.929     5.187     4.978     9.643     4.368     6.850   (0.203)    3.500*    11.106     4.443     5.446     5.691     6.007    15.940    5.580*     3.819     3.669    35.554     5.330     8.437
20240212       5.244     4.360     3.802   11.150*     4.931     1.605    5.331*     6.123     3.536     3.914     5.181    4.978*     9.702     4.367     6.850   -0.203*    3.500*    11.057     4.437     5.463     5.648     5.972    16.000     5.834     3.810    3.669*    35.638     5.330     8.465
20240213       5.216     4.392     3.820   11.150*     4.902     1.567    5.331*     6.110     3.506     3.892     5.197    4.978*     9.675     4.243     6.850   (0.194)     3.500    11.205     4.428     5.261     5.689     5.943    15.840     5.932     3.809     3.567    37.239     5.330     8.438
20240214       5.074     4.393     3.808    11.150     4.893     1.580    5.331*     6.105     3.515     3.897     5.197     4.573     9.717     4.305     6.800   (0.282)     3.500    11.204     4.404     5.318     5.664     5.943    15.790     5.892     3.784     3.558    37.924     5.330     8.527
20240215       5.321     4.339     3.800    11.150     4.941     1.579    5.331*     6.092     3.501     3.898     5.196     4.669     9.732     4.363     6.750     (0.2)     3.500    11.299     4.437     5.722     5.638     5.967    15.750     5.695     3.778     3.585    37.956     5.330     8.465
20240216       5.236     4.342     3.836    11.150     4.939     1.558    5.331*     6.081     3.478     3.905     5.192     4.838     9.746     4.314     6.750   (0.236)     3.500    11.344     4.440     5.428     5.633     5.977    15.740    5.695*     3.790     3.916    36.031     5.330     8.464
20240219       5.236     4.342     3.836    11.150    4.939*     1.558     2.199     6.081     3.478     3.905     5.192     4.838     9.746     4.314    6.750*   (0.236)     3.500    11.344     4.440     5.428     5.633     5.977    15.740     5.695     3.790     3.916    36.031    5.330*     8.464
20240220       5.202     4.352     3.780    11.150     4.919     1.561     5.669     6.082     3.498     3.906     5.194     4.311     9.773     4.251     6.790   (0.235)     3.500    11.369     4.437     5.460     5.683     5.977    15.750     5.638     3.795     3.819    39.564     5.330     8.462
20240221       5.114     4.274     3.780    11.150     4.896     1.535     6.424     6.082     3.500     3.902     5.188     4.081     9.851     4.254     6.700    (0.19)     3.500    11.392     4.405     5.364     5.689     5.916    15.750     5.753     3.862     3.906    38.843     5.330     8.438
20240222       5.234     4.274     3.790    11.150     4.882     1.491     4.405     6.064     3.487     3.900     5.177     4.134     9.799     4.317     6.650   (0.288)     3.500    11.345     4.403     5.201     5.693     5.861    15.750    5.753*     3.799     3.767    41.085     5.330     8.408
20240223       5.215     4.276     3.790    11.150     4.873     1.503     3.004     6.106     3.483     3.899     5.176     4.050     9.816     4.319     6.700   -0.288*     3.500    11.203     4.403     5.119     5.669     5.849   15.750*    5.753*     3.827     3.886    42.963     5.330     8.322
20240226       5.262     4.313     3.800    11.150     4.880     1.580     3.051     6.112     3.492     3.898     5.189     3.792     9.800     4.319     6.800   (0.305)     3.500    11.261     4.434     5.121     5.640     5.910    15.740     5.683     3.847     3.845    44.243     5.330     8.375
20240227       5.201     4.338     3.800    11.150     4.878     1.534     2.977     6.098     3.471     3.911     5.211     3.722     9.772    4.319*     6.800   (0.343)     3.500    11.258     4.436     5.331     5.615     5.959    15.710     5.880     3.873     3.792    49.276     5.330     8.507
20240228       5.271     4.351     3.800    11.150     4.878     1.426     1.055     6.094     3.526     3.916     5.230     4.156     8.830     4.362     6.500   (0.233)     3.500    11.273     4.470     5.744     5.768     6.027    15.700     5.914     3.808     3.797    45.237     5.330     8.532
20240229       5.310     4.318     3.800    11.150     4.871     0.904     0.464     5.250     3.497     2.934     5.236     4.695     8.020     4.430     6.800   (0.933)     3.500    11.195     4.457     5.877     6.110     5.245    15.750     5.858     3.509     3.810    44.574     5.330     8.623
