Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20231201       5.077     4.170     3.713    12.150     4.971     1.627     2.446     6.892     3.515     3.942     5.219     4.621    11.174     4.634     9.700   (0.202)     3.500    10.992     4.211     5.340     5.616    5.804*    14.900    5.749*     3.992     3.839    28.092     5.330     8.455
20231204      5.077*     4.202     3.646    12.150     5.032     1.656     2.171     6.891     3.567     3.936     5.216     4.339    11.253     4.578     9.700   (0.188)     3.500    11.085     4.208     5.326     5.676     5.865    14.780     5.309     3.928     3.658    29.083     5.330     8.582
20231205       5.360     4.215     3.689    12.150     5.030     1.753     3.742     6.946     3.608     4.003     5.244     4.038    11.337     4.475     9.700   (0.155)     3.500    11.185     4.243     5.245     5.690     5.890    14.700     5.525     3.983     3.848    29.057     5.330     8.561
20231206       5.292     4.247     3.756    12.150     5.043     1.775     3.511     6.971     3.595     4.027     5.259     4.053    11.327     4.273     9.700   (0.155)     3.500    12.022     4.270     5.299     5.683     5.970    14.550     5.582     3.960     4.068    27.656     5.330     8.932
20231207       5.156     4.206     3.739    12.150     5.014     1.668     3.688     6.983     3.579     3.983     5.249     4.679    11.351     4.472     9.700   (0.161)     3.500    11.586     4.226     5.304     5.635     5.881    14.520     5.489     3.904     4.294    32.307     5.330     8.838
20231208       5.349     4.206     3.790    12.150     4.992     1.678     4.775     6.972     3.535     3.977     5.235     5.082    11.246     4.745     9.700   (0.192)     3.500    11.424     4.188     5.427     5.599     5.853    14.490    5.489*     3.883     4.335    25.504     5.330     8.705
20231211       5.368     4.279     3.790    12.150     4.975     1.727     4.102     6.959     3.526     3.965     5.231     4.407    11.314     4.835     9.700   (0.356)     3.500    11.186     4.167     5.264     5.622     5.840    14.980     5.522     3.871     4.008    25.597     5.330     8.570
20231212       5.124     4.231     3.790    12.150     4.970     1.728     4.297     6.991     3.512     3.963     5.227     4.349    11.261     4.742     9.700   (0.316)     3.500   11.186*     4.184     5.194     5.660     5.820    15.000     5.403     3.919     4.177    26.397     5.330     8.456
20231213       5.042     4.177     3.670    12.150     4.973     1.688     3.706     6.959     3.501     3.948     5.223     4.158    11.238     4.839     9.700   (0.194)     3.500    11.213     4.203     5.274     5.838     5.807    15.160     5.381     3.913     4.507    33.002     5.330     8.449
20231214       5.049     4.165     3.672    11.650     4.962     1.688     3.713     6.926     3.519     3.935     5.233     3.961    11.205     4.929     9.700   (0.208)     3.500    11.459     4.202     5.328     5.840     5.797    15.390     5.298     3.964     4.503    35.574     5.330    11.223
20231215       5.006     4.163     3.648    11.650     4.990     1.621     3.914     6.869     3.483     3.922     5.227     3.915    11.220     4.900     9.700   (0.195)     3.500    11.402     4.425     5.389     5.769     5.646    15.730    5.298*     3.949     4.084    33.580     5.330   11.223*
20231218       5.002     4.159     3.635    11.650     4.982     1.719     4.833     6.699     3.524     3.910     5.244     4.469    11.023     4.986     9.700   (0.333)     3.500    11.408     4.465     5.022     5.717     5.632    15.710     5.458     3.995     3.837    35.301     5.330     8.543
20231219       4.970     4.141     3.642    11.650     4.914     1.725     5.318     6.488     3.493     3.940     5.247     5.142    11.131     4.951     9.700   (0.266)     3.500    11.644     4.404     5.241     5.730     5.594    15.500     5.400     3.995     3.911    36.277     5.330     8.575
20231220       5.040     4.196     3.689    11.650     4.929     1.693     5.318     6.719     3.541     3.997     5.253     5.329    10.288     4.911     9.700   (0.266)     3.500    11.861     4.371     4.893     5.746     5.626    15.530     5.485     3.811     3.838    33.305     5.330     8.537
20231221       5.019     4.230     3.890    11.650     4.883     1.687     4.007     6.977     3.589     3.998     5.257     5.231    10.295     4.912     9.700   (0.134)     3.500    11.606     4.382     5.106     5.716     5.886    15.340     5.553     3.920     3.488    30.672     5.330     8.449
20231222       5.294     4.230     3.822    11.650     4.725     1.490     2.237     6.816     3.576     3.998     5.257     5.443    10.453     4.974     9.700   (0.155)     3.500    11.359     4.382     5.259     5.694     6.022    15.300    5.553*     3.870     3.793    29.801     5.330     8.449
20231225       5.294     4.230    3.822*   11.650*    4.725*    1.490*    2.237*    6.816*    3.576*     3.998     5.257    5.443*   10.453*     4.974    9.700*   (0.155)    3.500*   11.359*     4.382    5.259*    5.694*    6.022*    15.300     5.553    3.870*    3.793*    29.801    5.330*     8.449
20231226       5.240    4.230*    3.822*    11.650    4.725*    1.490*    2.237*    6.816*    3.576*    3.998*    5.257*    5.443*   10.453*     4.920     9.700   (0.117)     3.500    11.353    4.382*    5.259*    5.694*    6.022*    15.250     5.771    3.870*     3.659    32.271     5.330    8.449*
20231227       4.918     4.280    3.822*    11.650     4.774     1.450     1.382     6.609     3.398     3.814     5.155     5.030    10.406     4.849     9.700     0.058     3.500    11.495     4.358     4.500     5.712     5.806    15.250     5.799     3.898     3.549    30.767     5.330     8.416
20231228       4.858     4.212     3.784    11.650     4.648     1.642     1.040     6.492     3.570     3.995     5.230     5.007    10.572     5.021     9.700   (0.329)     3.500    11.400     4.351     5.108     5.815     5.888    15.270     5.202     3.944     3.490    30.634     5.330     8.386
20231229       4.728     4.009     4.026    11.650     4.691     1.525     0.327     5.750     3.704     3.948     5.109     7.093     9.750     5.430     9.700   (0.244)     3.500    10.404     3.966     5.130     4.640     5.896    15.270    5.202*     4.082     3.813    28.416     5.330     7.472
