Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20240301       5.347     4.271     3.790    11.150     4.841     1.494     2.244     6.092     3.497     3.927     5.235     4.112     8.781     4.475     6.700   (0.249)    3.500*    11.086     4.402     5.384     5.628     5.979    15.440    5.858*     3.826     3.946    43.657     5.330     8.460
20240304       5.340     4.286    3.790*    11.150     4.866     1.489     2.217     6.088     3.504     3.904     5.198     4.043     8.731     4.351     6.600   (0.213)     3.500    10.975     4.397     5.500     5.679     5.895    15.460     5.943     3.812     3.627    47.107     5.330     8.248
20240305       5.223     4.241     3.780    11.150     4.879     1.531     3.110     6.053     3.568     3.922     5.185     3.910     8.799     4.328     6.540    (0.14)     3.500    10.716     4.390     5.542     5.676     5.904    15.340     5.800     3.858     3.599    48.346     5.330     8.162
20240306       5.226     4.179     3.790    11.150     4.894     1.555     2.522     6.094     3.583     3.932     5.164     3.729     8.777     4.103     6.520   (0.158)     3.500    10.225     4.398     5.498     5.698     5.928    15.400     5.797     3.860     3.662    57.718     5.330     8.195
20240307       5.272     4.181     3.790    11.150     4.890     1.530     2.397     6.127     3.575     3.928     5.187     3.748     8.782     4.240     6.620   (0.078)     3.500    10.580     4.400     5.483     5.706     5.925    15.670     5.821     3.872     3.756    66.102     5.330     8.162
20240308       5.239     4.285     3.790    11.150     4.880     1.513     2.621     6.125     3.546     3.925     5.188     4.050     8.780     4.269    6.620*   (0.176)     3.500    10.621     4.382     5.222     5.673     5.933   15.670*    5.821*     3.869     3.873    52.099     5.330     8.107
20240311       5.215     4.267     3.780    11.150     4.859     1.518     2.348     6.119     3.519     3.907     5.173     3.846     8.764     4.314     6.800   (0.246)     3.500    10.551     4.357     5.283     5.644     5.944    15.890     5.718     3.832     3.603    56.783     5.330     8.149
20240312       5.307     4.275     3.790    11.150     4.861     1.685     2.342     6.143     3.541     3.923     5.191     3.817     8.746     4.357     6.730   (0.195)     3.500    10.513     4.340     5.304     5.624     5.915    16.000     5.799     3.837     3.569    67.522     5.330     8.135
20240313       5.219     4.275     3.780    11.150     4.862     1.704     2.544     6.138     3.555     3.934     5.188     3.759     8.726     4.351     6.660   (0.212)     3.500    10.486     4.334     5.289     5.602     5.849    15.750     5.946     3.858     3.496    51.822     5.330     8.140
20240314       5.286     4.336     3.790    11.150     4.874     1.631     2.603     6.149     3.555     3.934     5.191     3.703     8.749     4.328     6.550   (0.207)     3.500    10.545     4.330     5.052     5.598     5.845    15.750     5.940     3.843     3.523    57.841     5.330     8.164
20240315       5.197     4.429     3.800    11.150     4.860     1.614     2.539     6.155     3.534     3.929     5.191     3.933    8.749*     4.261     6.740   (0.192)     3.500    11.013     4.433     5.062     5.586     5.851    15.740    5.940*     3.851     3.499    46.917     5.330     8.142
20240318       5.325     4.437     3.790    11.150     4.812     1.641     3.147     6.173     3.549     3.926     5.186     3.959     8.802     4.315     6.750   (0.282)     3.500   11.013*     4.385     5.476     5.657     5.844    15.720     5.962     3.856     3.660    52.586     5.330     7.929
20240319       5.329     4.692     3.790    11.150     4.768     1.647     2.925     6.220     3.540     3.925     5.194     4.122     8.764     4.307     6.650   (0.461)     3.500    11.051     4.321     5.318     5.614     5.856    15.680     6.012     3.854     3.703    52.297     5.330     7.883
20240320       5.315     4.387     3.800    11.150     4.791     1.618     2.864     6.456     3.542     3.933     5.268     4.131     8.667     4.324     6.550   -0.461*     3.500    11.064     4.338     5.292     5.601     5.835    15.700     5.893     3.865     3.770    50.035     5.330     7.989
20240321       5.271     4.508     3.790    10.650     4.826     1.549     2.871     6.156     3.552     3.942     5.275     4.137     8.726     4.351     6.790    (0.21)     3.500    11.230     4.328     5.665     5.592     5.861    15.540     5.699     3.842     3.803    47.904     5.330    7.989*
20240322       5.250     4.679     3.790    10.650     4.831     1.256     2.905     5.761     3.584     3.975     5.270     4.411     8.767     4.401     6.850   (0.016)     3.500    11.246     4.343     5.485     5.584     5.853    15.350    5.699*     3.860     3.827    44.004     5.330     8.028
20240325       5.226     4.539     3.780    10.650     4.872     1.343     4.376     5.855     3.569     3.959     5.255     4.691     8.748     4.381    6.850*   (0.118)     3.500    10.998     4.336     5.381     5.594     5.888    15.290     5.911     3.938     3.892    48.005     5.330     7.991
20240326       5.242     4.466     3.800    10.650     4.876     1.364     5.203     5.927     3.557     3.952     5.246     4.714     8.752     4.399     6.830   (0.124)     3.500    10.962     4.342     5.345     5.567     5.928    15.500     5.817     3.968     3.931    44.429     5.330     8.206
20240327       5.227     4.555     3.800    10.650     4.886     1.433     5.853     5.929     3.444     3.945     5.238     4.194     8.007     4.431     6.720   (0.099)     3.500    10.862     4.276     5.480     5.558     5.958    15.250     5.332     3.852     3.938    44.410     5.330     8.376
20240328       5.130     4.642     3.780    10.650     4.766     1.337     6.171     5.601    3.444*     3.768     5.322     5.069     7.250     4.301     7.900     (0.1)     3.500   10.862*    4.276*     5.369     5.550     5.842    15.420     5.272     3.844     3.895    45.373     5.330     8.346
20240329       5.353    4.642*     3.810   10.650*    4.766*    1.337*    6.171*    5.601*    3.444*    3.768*    5.322*    5.069*    7.250*     4.223    7.900*   (0.926)     3.500   10.862*    4.276*    5.369*     5.787     5.941    15.990    5.272*    3.844*    3.895*    43.902    5.330*    8.346*
