Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20240401       5.308    4.642*     3.780    10.650     4.861    1.337*    6.171*    5.601*    3.444*    3.768*    5.322*    5.069*    7.250*     4.118    7.900*   (0.159)     3.500    10.626    4.276*    5.369*    5.787*     6.643    15.630     5.349    3.844*     3.735    52.069     5.330    8.346*
20240402       5.264     4.430     3.790    10.650     4.789     1.419     6.169     5.647     3.536     3.923     5.219     3.921     8.017     3.950     6.540   (0.137)     3.500    10.622     4.426     5.577     5.614     6.144    15.490     4.760     3.863     3.723    48.542     5.330     8.066
20240403       5.244     4.483     3.790    10.650     4.778     1.303     5.488     5.611     3.584     3.955     5.196     4.171     8.081     3.842     6.540     0.009     3.500    10.251     4.412     5.443     5.601     6.030    15.700     4.972     3.937     3.709    45.705     5.330     8.157
20240404       5.294     4.399     3.780    10.650     4.636     1.366    5.488*     5.536     3.548     3.956     5.202    4.171*     8.079     3.943     6.550   (0.068)     3.500     9.337     4.414     5.501     5.734     5.991    15.670     5.362     3.955     3.541    42.988     5.330     8.162
20240405       5.161     4.365     3.770    10.650     4.806     1.392    5.488*     5.632     3.526     3.949     5.191     4.112     8.066     4.090     6.560   (0.089)     3.500     9.785     4.386     5.391     5.786     5.963    15.720    5.362*     3.917     3.284    38.308     5.330     8.185
20240408      5.161*     4.220     3.780    10.650     4.892     1.318     5.461     5.626     3.565     3.932     5.167     4.246     8.079     3.965     6.560   (0.109)     3.500    10.313     4.382     5.091     5.804     5.885    15.860     4.918     3.853     3.150    40.095     5.330     7.971
20240409      5.161*     4.425     3.780    10.650     4.884     1.291     6.936     5.615     3.538     3.930     5.163     4.173     8.015     3.907    6.560*   (0.042)     3.500    10.542     4.405     5.213     5.754     5.886    15.900    4.918*     3.861     2.993    34.511     5.330     7.965
20240410      5.161*     4.406     3.780    10.650     4.852     1.272     6.465     5.596     3.505     3.927     5.168     4.053     8.026     4.046     6.640   (0.053)    3.500*    10.643     4.399     5.265     5.680     5.895    15.610    4.918*     3.836    2.993*   34.511*     5.330     7.608
20240411      5.161*     4.306     3.780    10.650     4.842     1.348     6.599     5.592     3.519     3.921     5.164     3.953     8.004     4.136    6.640*   (0.043)     3.500    10.741     4.398     5.217     5.670     5.854    15.640    4.918*     3.805     3.266   34.511*     5.330     7.268
20240412      5.161*     4.314     3.780    10.650     4.904     1.293     5.430     5.617     3.518     3.912     5.166     3.985     8.022     4.098     6.690   (0.109)     3.500    10.815     4.422     5.357     5.643     5.791    15.730    4.918*     3.826     3.372   34.511*     5.330     7.447
